book,chapter,expected_verses,actual_verses,match
MRK,4,41,41,True
MRK,5,43,43,True
MRK,6,56,56,True
MRK,7,37,37,True
MRK,8,38,38,True
MRK,9,50,50,True
MRK,10,52,52,True
MRK,11,33,33,True
MRK,12,44,44,True
MRK,13,37,37,True
MRK,14,72,72,True
MRK,15,47,47,True
MRK,16,20,20,True
LUK,1,80,80,True
LUK,2,52,52,True
LUK,3,38,38,True
LUK,4,44,44,True
LUK,5,39,39,True
LUK,6,49,49,True
LUK,7,50,50,True
LUK,8,56,56,True
LUK,9,62,62,True
LUK,10,42,42,True
LUK,11,54,54,True
LUK,12,59,59,True
LUK,13,35,35,True
LUK,14,35,35,True
LUK,15,32,32,True
LUK,16,31,31,True
LUK,17,37,37,True
LUK,18,43,43,True
LUK,19,48,48,True
LUK,20,47,47,True
LUK,21,38,38,True
LUK,22,71,71,True
LUK,23,56,56,True
LUK,24,53,53,True
JHN,1,51,51,True
JHN,2,25,25,True
JHN,3,36,36,True
JHN,4,54,54,True
JHN,5,47,47,True
JHN,6,71,71,True
JHN,7,53,53,True
JHN,8,59,59,True
JHN,9,41,41,True
JHN,10,42,42,True
JHN,11,57,57,True
JHN,12,50,50,True
JHN,13,38,38,True
JHN,14,31,31,True
JHN,15,27,27,True
JHN,16,33,33,True
JHN,17,26,26,True
JHN,18,40,40,True
JHN,19,42,42,True
JHN,20,31,31,True
JHN,21,25,25,True
ACT,1,26,26,True
ACT,2,47,47,True
ACT,3,26,26,True
ACT,4,37,37,True
ACT,5,42,42,True
ACT,6,15,15,True
ACT,7,60,60,True
ACT,8,40,40,True
ACT,9,43,43,True
ACT,10,48,48,True
ACT,11,30,30,True
ACT,12,25,25,True
ACT,13,52,52,True
ACT,14,28,28,True
ACT,15,41,41,True
ACT,16,40,40,True
ACT,17,34,34,True
ACT,18,28,28,True
ACT,19,41,41,True
ACT,20,38,38,True
ACT,21,40,40,True
ACT,22,30,30,True
ACT,23,35,35,True
ACT,24,27,27,True
ACT,25,27,27,True
ACT,26,32,32,True
ACT,27,44,44,True
ACT,28,31,31,True
ROM,1,32,32,True
ROM,2,29,29,True
ROM,3,31,31,True
ROM,4,25,25,True
ROM,5,21,21,True
ROM,6,23,23,True
ROM,7,25,25,True
ROM,8,39,39,True
ROM,9,33,33,True
ROM,10,21,21,True
ROM,11,36,36,True
ROM,12,21,21,True
ROM,13,14,14,True
ROM,14,23,23,True
ROM,15,33,33,True
ROM,16,27,27,True
1CO,1,31,31,True
1CO,2,16,16,True
1CO,3,23,23,True
1CO,4,21,21,True
1CO,5,13,13,True
1CO,6,20,20,True
1CO,7,40,40,True
1CO,8,13,13,True
1CO,9,27,27,True
1CO,10,33,33,True
1CO,11,34,34,True
1CO,12,31,31,True
1CO,13,13,13,True
1CO,14,40,40,True
1CO,15,58,58,True
1CO,16,24,24,True
2CO,1,24,24,True
2CO,2,17,17,True
2CO,3,18,18,True
2CO,4,18,18,True
2CO,5,21,21,True
2CO,6,18,18,True
2CO,7,16,16,True
2CO,8,24,24,True
2CO,9,15,15,True
2CO,10,18,18,True
2CO,11,33,33,True
2CO,12,21,21,True
2CO,13,14,14,True
GAL,1,24,24,True
GAL,2,21,21,True
GAL,3,29,29,True
GAL,4,31,31,True
GAL,5,26,26,True
GAL,6,18,18,True
EPH,1,23,23,True
EPH,2,22,22,True
EPH,3,21,21,True
EPH,4,32,32,True
EPH,5,33,33,True
EPH,6,24,24,True
PHP,1,30,30,True
PHP,2,30,30,True
PHP,3,21,21,True
PHP,4,23,23,True
COL,1,29,29,True
COL,2,23,23,True
COL,3,25,25,True
COL,4,18,18,True
1TH,1,10,10,True
1TH,2,20,20,True
1TH,3,13,13,True
1TH,4,18,18,True
1TH,5,28,28,True
2TH,1,12,12,True
2TH,2,17,17,True
2TH,3,18,18,True
1TI,1,20,20,True
1TI,2,15,15,True
1TI,3,16,16,True
1TI,4,16,16,True
1TI,5,25,25,True
1TI,6,21,21,True
2TI,1,18,18,True
