side,reference,book,chapter,verse,category,note
WLC_ONLY,PSA 84:13,PSA,84,13,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 85:14,PSA,85,14,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 88:19,PSA,88,19,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 89:53,PSA,89,53,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 92:16,PSA,92,16,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 102:29,PSA,102,29,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 108:14,PSA,108,14,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 140:14,PSA,140,14,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 142:8,PSA,142,8,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,SNG 7:14,SNG,7,14,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,ZEC 2:14,ZEC,2,14,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
